,0,1,2,3,4
0,838.97186,65.4115,283.74158,52.868984,462.44693
1,651.47064,63.11932,118.34574,112.265045,320.69913
2,313.41553,58.654972,91.03152,31.602877,143.7694
3,222.97852,57.93777,83.718575,24.455084,100.47362
4,186.25424,54.46631,84.942566,21.831686,78.65022
5,149.81422,51.85726,74.98337,25.900387,64.05261
6,133.50882,52.38299,74.408356,21.211464,69.13274
7,143.43814,53.510395,73.74027,20.924654,59.94286
8,136.01875,50.937923,66.66347,20.511255,62.93874
9,145.32309,50.252346,66.88767,20.163689,58.699856
